R1	R2	R3	R4	R5	R6	R7	R8	R9
83	4	3	2	2	1	0	0	0
21	53	9	1	1	0	2	0	0
5	17	48	4	1	1	0	0	0
5	7	24	37	3	2	1	0	0
13	6	13	21	102	6	0	0	0
1	2	4	11	26	42	5	3	0
0	3	2	2	15	27	39	5	0
2	1	1	1	6	6	8	24	1
0	1	0	0	1	2	5	9	22
